n,t
0,0.000007
100,0.000049
200,0.000176
300,0.000379
400,0.000673
500,0.001065
600,0.001519
700,0.002090
800,0.001993
900,0.002710
1000,0.003119
1100,0.004518
1200,0.004488
1300,0.005218
1400,0.005552
1500,0.005986
1600,0.006203
1700,0.006149
1800,0.006541
1900,0.006579
2000,0.006846
2100,0.007375
2200,0.008113
2300,0.008906
2400,0.009705
2500,0.010643
2600,0.011513
2700,0.012393
2800,0.013533
2900,0.014584
3000,0.015593
3100,0.016795
3200,0.017984
3300,0.019252
3400,0.020369
3500,0.021265
3600,0.023264
3700,0.024534
3800,0.025886
3900,0.025306
4000,0.026640
4100,0.028343
4200,0.030298
4300,0.031901
4400,0.033512
4500,0.035227
4600,0.036882
4700,0.038386
4800,0.040333
4900,0.041962
5000,0.043843
5100,0.045542
5200,0.047685
5300,0.049229
5400,0.050738
5500,0.052720
5600,0.054964
5700,0.057217
5800,0.059958
5900,0.061604
6000,0.063688
6100,0.066046
6200,0.068731
6300,0.071013
6400,0.073370
6500,0.076205
6600,0.078839
6700,0.081535
6800,0.086109
6900,0.087700
7000,0.088746
7100,0.092196
7200,0.094718
7300,0.098081
7400,0.102135
7500,0.103195
7600,0.106247
7700,0.108716
7800,0.112702
7900,0.115605
8000,0.131493
8100,0.139887
8200,0.133961
8300,0.130007
8400,0.133033
8500,0.141893
8600,0.143235
8700,0.152299
8800,0.155373
8900,0.161353
9000,0.154158
9100,0.157572
9200,0.163481
9300,0.164093
9400,0.167968
9500,0.172258
9600,0.176025
9700,0.179424
9800,0.184371
9900,0.187850
10000,0.191515
10100,0.195405
10200,0.200912
10300,0.207417
10400,0.211760
10500,0.216133
10600,0.222280
10700,0.223846
10800,0.226498
10900,0.230314
11000,0.234739
11100,0.239240
11200,0.245992
11300,0.250570
11400,0.255888
11500,0.260585
11600,0.263106
11700,0.287213
11800,0.286684
11900,0.281211
12000,0.284412
12100,0.293244
12200,0.293926
12300,0.297853
12400,0.304845
12500,0.311718
12600,0.321079
12700,0.325591
12800,0.331839
12900,0.335742
13000,0.339678
13100,0.344571
13200,0.352576
13300,0.357115
13400,0.361661
13500,0.367227
13600,0.377928
13700,0.375984
13800,0.383216
13900,0.394984
14000,0.410448
14100,0.415171
14200,0.404905
14300,0.407570
14400,0.419697
14500,0.450134
14600,0.435121
14700,0.439370
14800,0.445802
14900,0.451894
15000,0.461987
15100,0.463687
15200,0.469259
15300,0.476069
15400,0.482086
15500,0.488849
15600,0.495962
15700,0.498623
15800,0.502194
15900,0.520911
16000,0.525766
16100,0.533491
16200,0.532424
16300,0.551205
16400,0.557407
16500,0.564136
16600,0.565563
16700,0.576159
16800,0.584958
16900,0.588217
17000,0.604304
17100,0.597783
17200,0.608610
17300,0.610836
17400,0.619073
17500,0.631439
17600,0.642467
17700,0.650996
17800,0.658940
17900,0.665009
18000,0.674356
18100,0.676298
18200,0.677535
18300,0.682737
18400,0.692172
18500,0.700974
18600,0.707203
18700,0.716883
18800,0.723816
18900,0.733007
19000,0.737199
19100,0.746577
19200,0.762896
19300,0.775708
19400,0.792828
19500,0.801213
19600,0.795465
19700,0.815094
19800,0.820785
19900,0.827234
20000,0.835548
20100,0.832211
20200,0.835549
20300,0.850073
20400,0.862009
20500,0.886732
20600,0.889169
20700,0.901222
20800,0.900516
20900,0.901750
21000,0.929094
21100,0.927853
21200,0.931833
21300,0.943370
21400,0.961083
21500,0.973025
21600,0.989242
21700,0.990723
21800,0.992747
21900,0.993977
22000,1.009186
22100,1.017896
22200,1.034686
22300,1.060714
22400,1.064577
22500,1.078169
22600,1.088572
22700,1.098056
22800,1.119891
22900,1.123825
23000,1.137190
23100,1.158302
23200,1.181545
23300,1.195693
23400,1.182178
23500,1.196027
23600,1.201422
23700,1.218378
23800,1.233528
23900,1.223298
24000,1.243901
24100,1.261291
24200,1.270442
24300,1.275229
24400,1.274933
24500,1.302756
24600,1.310093
24700,1.322929
24800,1.344510
24900,1.361937
25000,1.354714
25100,1.377823
25200,1.386785
25300,1.390894
25400,1.391091
25500,1.403858
25600,1.400371
25700,1.407948
25800,1.422121
25900,1.442862
26000,1.543891
26100,1.492636
26200,1.489132
26300,1.513407
26400,1.506014
26500,1.549663
26600,1.563360
26700,1.589680
26800,1.613821
26900,1.563652
27000,1.646270
27100,1.605564
27200,1.621311
27300,1.653557
27400,1.658845
27500,1.676080
27600,1.654635
27700,1.738595
27800,1.717598
27900,1.706203
28000,1.702776
28100,1.745567
28200,1.782579
28300,1.759186
28400,1.768686
28500,1.822493
28600,1.819975
28700,1.809948
28800,1.813948
28900,1.837498
29000,1.842765
29100,1.825629
29200,1.855854
29300,1.947485
29400,1.922439
29500,1.947588
29600,1.910260
29700,1.914706
29800,2.012352
29900,1.925378
