n,t
0,0.0
100,2.0375e-5
200,2.4084e-5
300,4.7875e-5
400,7.7125e-5
500,0.000112333
600,0.00015625
700,0.000237
800,0.000515542
900,0.000392459
1000,0.000561667
1100,0.000630208
1200,0.000563416
1300,0.000610458
1400,0.000696417
1500,0.000825958
1600,0.000875791
1700,0.000985583
1800,0.001106125
1900,0.001210417
2000,0.001332542
2100,0.00147025
2200,0.001604958
2300,0.001732708
2400,0.001912084
2500,0.002045416
2600,0.002186792
2700,0.00236125
2800,0.002535416
2900,0.002715
3000,0.002906709
3100,0.003070292
3200,0.003294125
3300,0.003486708
3400,0.003685042
3500,0.003845292
3600,0.00397975
3700,0.004191375
3800,0.004401417
3900,0.004625667
4000,0.0048535
4100,0.005089333
4200,0.005409833
4300,0.005588583
4400,0.005880667
4500,0.006123416
4600,0.0065945
4700,0.006657292
4800,0.006954042
4900,0.007259167
5000,0.007565125
5100,0.007797791
5200,0.008166333
5300,0.008512792
5400,0.009254417
5500,0.009447084
5600,0.010074708
5700,0.009759167
5800,0.010072334
5900,0.010431417
6000,0.010900583
6100,0.011220792
6200,0.011498125
6300,0.011895291
6400,0.012273667
6500,0.012681166
6600,0.013126083
6700,0.013463834
6800,0.013773167
6900,0.014336084
7000,0.014717375
7100,0.01510625
7200,0.015524041
7300,0.01597225
7400,0.016453291
7500,0.016806958
7600,0.017275459
7700,0.017756334
7800,0.018162333
7900,0.018761083
8000,0.019283958
8100,0.019669459
8200,0.020173583
8300,0.020651042
8400,0.021165417
8500,0.021581833
8600,0.022209875
8700,0.022880959
8800,0.023246416
8900,0.023665
9000,0.024447166
9100,0.024969792
9200,0.025498666
9300,0.025931125
9400,0.026566916
9500,0.027009167
9600,0.027665125
9700,0.0282905
9800,0.028876125
9900,0.029611125
10000,0.030490333
10100,0.031828583
10200,0.031968667
10300,0.032062167
10400,0.032680166
10500,0.033241167
10600,0.034299667
10700,0.034703792
10800,0.035472583
10900,0.036032333
11000,0.0368195
11100,0.037264042
11200,0.038008625
11300,0.038858125
11400,0.039629875
11500,0.040148333
11600,0.041103292
11700,0.041823333
11800,0.042877042
11900,0.043367167
12000,0.044289708
12100,0.045014542
12200,0.045542833
12300,0.046390917
12400,0.047755708
12500,0.048128916
12600,0.049047583
12700,0.049729375
12800,0.050919333
12900,0.051991625
13000,0.052315083
13100,0.053227041
13200,0.054179125
13300,0.054922291
13400,0.055956583
13500,0.057042
13600,0.058095292
13700,0.060052166
13800,0.059839333
13900,0.0606345
14000,0.061715417
14100,0.062708583
14200,0.063408333
14300,0.065032958
14400,0.065804833
14500,0.066696375
14600,0.068374375
14700,0.069261291
14800,0.070515291
14900,0.071874667
15000,0.072244875
15100,0.073789875
15200,0.074445542
15300,0.0753575
15400,0.076943584
15500,0.078123167
15600,0.0795255
15700,0.0813525
15800,0.082125916
15900,0.082702208
16000,0.084326625
16100,0.085249459
16200,0.086632125
16300,0.088183042
16400,0.090176625
16500,0.091337958
16600,0.092143584
16700,0.093407167
16800,0.09565375
16900,0.097002083
17000,0.098896083
17100,0.098992125
17200,0.103340208
17300,0.102816125
17400,0.103901375
17500,0.106058125
17600,0.106311458
17700,0.109750042
17800,0.110876167
17900,0.111967125
18000,0.114913125
18100,0.116276959
18200,0.118736
18300,0.120124042
18400,0.121197542
18500,0.123008625
18600,0.124006833
18700,0.127143291
18800,0.13218925
18900,0.1390515
19000,0.148452375
19100,0.140773167
19200,0.147812375
19300,0.159103916
19400,0.154096042
19500,0.1563815
19600,0.163788958
19700,0.157950083
19800,0.161887666
19900,0.163264625
20000,0.170651625
20100,0.179912208
20200,0.175143125
20300,0.178669333
20400,0.187188916
20500,0.185687458
20600,0.198637334
20700,0.21519175
20800,0.205449
20900,0.211910708
21000,0.229627083
21100,0.224065584
21200,0.230204333
21300,0.224503
21400,0.240133583
21500,0.248460584
21600,0.253107375
21700,0.228265209
21800,0.245649
21900,0.258049417
22000,0.258030208
22100,0.237328
22200,0.274446667
22300,0.271859167
22400,0.270796
22500,0.291393375
22600,0.286061167
22700,0.313755792
22800,0.295328792
22900,0.273991625
23000,0.30907125
23100,0.308241459
23200,0.298711833
23300,0.292319041
23400,0.318331917
23500,0.308957208
23600,0.324155541
23700,0.321212125
23800,0.330240625
23900,0.34550325
24000,0.342025041
24100,0.347336917
24200,0.359305042
24300,0.357656875
24400,0.346961417
24500,0.382907083
24600,0.370012417
24700,0.376954125
24800,0.387965542
24900,0.375005333
25000,0.4013005
25100,0.412715417
25200,0.406750375
25300,0.39612825
25400,0.3941975
25500,0.4171215
25600,0.407209083
25700,0.42458475
25800,0.442496833
25900,0.430823666
26000,0.412079375
26100,0.427292375
26200,0.483094833
26300,0.431765791
26400,0.473001167
26500,0.454217208
26600,0.46538125
26700,0.467115416
26800,0.464102625
26900,0.494145083
27000,0.48955
27100,0.502939125
27200,0.504922042
27300,0.52121775
27400,0.503297083
27500,0.565466458
27600,0.60300875
27700,0.504106083
27800,0.53900675
27900,0.507319791
28000,0.547360042
28100,0.516286
28200,0.542578625
28300,0.560144542
28400,0.554681375
28500,0.564309542
28600,0.5675775
28700,0.647606375
28800,0.579595041
28900,0.5850415
29000,0.57676725
29100,0.66844175
29200,0.598853
29300,0.585068834
29400,0.612540833
29500,0.602397375
29600,0.607144667
29700,0.63139
29800,0.632409459
29900,0.627045666
