n,t
0,0.000283
100,0.000269
200,0.000212
300,0.000214
400,0.000235
500,0.000233
600,0.000557
700,0.000361
800,0.000185
900,0.000183
1000,0.000186
1100,0.000186
1200,0.000189
1300,0.000192
1400,0.000195
1500,0.000195
1600,0.000196
1700,0.000198
1800,0.000196
1900,0.000198
2000,0.000229
2100,0.000384
2200,0.000315
2300,0.000234
2400,0.000233
2500,0.000235
2600,0.000235
2700,0.000239
2800,0.000239
2900,0.000241
3000,0.000241
3100,0.000244
3200,0.000244
3300,0.000248
3400,0.000253
3500,0.000252
3600,0.000247
3700,0.000250
3800,0.000255
3900,0.000260
4000,0.000351
4100,0.000429
4200,0.000423
4300,0.000421
4400,0.000378
4500,0.000353
4600,0.000355
4700,0.000356
4800,0.000356
4900,0.000360
5000,0.000368
5100,0.000362
5200,0.000366
5300,0.000307
5400,0.000274
5500,0.000276
5600,0.000277
5700,0.000278
5800,0.000279
5900,0.000282
6000,0.000283
6100,0.000284
6200,0.000289
6300,0.000289
6400,0.000382
6500,0.000393
6600,0.000396
6700,0.000394
6800,0.000397
6900,0.000399
7000,0.000402
7100,0.000397
7200,0.000347
7300,0.000348
7400,0.000350
7500,0.000353
7600,0.000356
7700,0.000356
7800,0.000359
7900,0.000360
8000,0.000362
8100,0.000363
8200,0.000365
8300,0.000369
8400,0.000373
8500,0.000371
8600,0.000371
8700,0.000372
8800,0.000376
8900,0.000377
9000,0.000378
9100,0.000380
9200,0.000332
9300,0.000334
9400,0.000335
9500,0.000336
9600,0.000339
9700,0.000340
9800,0.000341
9900,0.000343
10000,0.000344
10100,0.000345
10200,0.000347
10300,0.000349
10400,0.000351
10500,0.000353
10600,0.000354
10700,0.000359
10800,0.000357
10900,0.000358
11000,0.000361
11100,0.000361
11200,0.000346
11300,0.000323
11400,0.000322
11500,0.000326
11600,0.000327
11700,0.000327
11800,0.000330
11900,0.000330
12000,0.000332
12100,0.000334
12200,0.000334
12300,0.000337
12400,0.000338
12500,0.000338
12600,0.000341
12700,0.000342
12800,0.000346
12900,0.000344
13000,0.000348
13100,0.000347
13200,0.000350
13300,0.000313
13400,0.000313
13500,0.000318
13600,0.000317
13700,0.000319
13800,0.000318
13900,0.000321
14000,0.000323
14100,0.000324
14200,0.000324
14300,0.000328
14400,0.000328
14500,0.000328
14600,0.000331
14700,0.000331
14800,0.000332
14900,0.000332
15000,0.000308
15100,0.000308
15200,0.000310
15300,0.000310
15400,0.000312
15500,0.000315
15600,0.000315
15700,0.000314
15800,0.000316
15900,0.000318
16000,0.000321
16100,0.000319
16200,0.000320
16300,0.000321
16400,0.000322
16500,0.000328
16600,0.000317
16700,0.000301
16800,0.000301
16900,0.000303
17000,0.000305
17100,0.000305
17200,0.000309
17300,0.000308
17400,0.000311
17500,0.000310
17600,0.000311
17700,0.000312
17800,0.000313
17900,0.000315
18000,0.000318
18100,0.000316
18200,0.000316
18300,0.000310
18400,0.000297
18500,0.000299
18600,0.000299
18700,0.000302
18800,0.000302
18900,0.000306
19000,0.000307
19100,0.000306
19200,0.000311
19300,0.000308
19400,0.000308
19500,0.000309
19600,0.000311
19700,0.000311
19800,0.000312
19900,0.000364
20000,0.000319
20100,0.000318
20200,0.000317
20300,0.000318
20400,0.000310
20500,0.000297
20600,0.000297
20700,0.000299
20800,0.000300
20900,0.000300
21000,0.000301
21100,0.000303
21200,0.000306
21300,0.000312
21400,0.000306
21500,0.000307
21600,0.000309
21700,0.000309
21800,0.000310
21900,0.000311
22000,0.000311
22100,0.000312
22200,0.000314
22300,0.000314
22400,0.000317
22500,0.000320
22600,0.000319
22700,0.000319
22800,0.000321
22900,0.000320
23000,0.000322
23100,0.000323
23200,0.000323
23300,0.000320
23400,0.000320
23500,0.000315
23600,0.000316
23700,0.000317
23800,0.000318
23900,0.000320
24000,0.000319
24100,0.000325
24200,0.000325
24300,0.000324
24400,0.000325
24500,0.000324
24600,0.000322
24700,0.000322
24800,0.000323
24900,0.000325
25000,0.000325
25100,0.000326
25200,0.000327
25300,0.000328
25400,0.000333
25500,0.000330
25600,0.000331
25700,0.000333
25800,0.000332
25900,0.000333
26000,0.000335
26100,0.000329
26200,0.000331
26300,0.000332
26400,0.000333
26500,0.000333
26600,0.000335
26700,0.000335
26800,0.000342
26900,0.000341
27000,0.000339
27100,0.000340
27200,0.000341
27300,0.000347
27400,0.000342
27500,0.000343
27600,0.000345
27700,0.000345
27800,0.000347
27900,0.000347
28000,0.000348
28100,0.000366
28200,0.000350
28300,0.000352
28400,0.000351
28500,0.000354
28600,0.000355
28700,0.000355
28800,0.000357
28900,0.000358
29000,0.000359
29100,0.000386
29200,0.000359
29300,0.000361
29400,0.000361
29500,0.000365
29600,0.000364
29700,0.000366
29800,0.000366
29900,0.000367
