n,t
0,6.4e-5
100,4.5792e-5
200,4.6792e-5
300,4.85e-5
400,5.0292e-5
500,5.2e-5
600,5.35e-5
700,5.5167e-5
800,5.6625e-5
900,5.875e-5
1000,6.2417e-5
1100,6.3375e-5
1200,6.5e-5
1300,6.7334e-5
1400,6.7708e-5
1500,6.9667e-5
1600,7.0583e-5
1700,7.0542e-5
1800,7.2458e-5
1900,7.3417e-5
2000,7.5e-5
2100,7.6417e-5
2200,7.7833e-5
2300,7.9458e-5
2400,8.0208e-5
2500,8.1333e-5
2600,8.2791e-5
2700,8.4625e-5
2800,8.6375e-5
2900,8.75e-5
3000,8.875e-5
3100,8.9792e-5
3200,9.2166e-5
3300,9.2666e-5
3400,9.3375e-5
3500,9.4708e-5
3600,8.5333e-5
3700,8.6334e-5
3800,8.6375e-5
3900,8.8792e-5
4000,8.9e-5
4100,9.0125e-5
4200,9.1208e-5
4300,9.2333e-5
4400,9.3375e-5
4500,9.425e-5
4600,9.5167e-5
4700,9.6459e-5
4800,9.7583e-5
4900,9.8459e-5
5000,9.8875e-5
5100,0.000100917
5200,0.000101292
5300,0.000103375
5400,0.00010425
5500,0.000106167
5600,0.000107208
5700,0.000108209
5800,0.000109167
5900,0.000109125
6000,0.000109958
6100,0.000110875
6200,0.000112292
6300,0.000113584
6400,0.000114125
6500,0.000114042
6600,0.000115166
6700,0.000116708
6800,0.000116709
6900,0.00011875
7000,0.000119959
7100,0.000120791
7200,0.000121583
7300,0.000122958
7400,0.000123334
7500,0.000124041
7600,0.000126375
7700,0.000126625
7800,0.000127458
7900,0.000129959
8000,0.000129625
8100,0.000130792
8200,0.000132875
8300,0.000133709
8400,0.000133958
8500,0.000136375
8600,0.0001365
8700,0.000142125
8800,0.000139625
8900,0.0001405
9000,0.000140125
9100,0.000127875
9200,0.000126625
9300,0.000129
9400,0.000129958
9500,0.000130417
9600,0.0001315
9700,0.000131792
9800,0.000133
9900,0.000135167
10000,0.0001355
10100,0.000135666
10200,0.000136958
10300,0.000138
10400,0.000138708
10500,0.000140542
10600,0.000143
10700,0.000141959
10800,0.000143125
10900,0.000146334
11000,0.0001445
11100,0.000148084
11200,0.000146292
11300,0.000146208
11400,0.000149042
11500,0.000150666
11600,0.000151
11700,0.000155334
11800,0.000152583
11900,0.000153416
12000,0.000154
12100,0.000154916
12200,0.000155125
12300,0.000156583
12400,0.000157333
12500,0.000153
12600,0.000145917
12700,0.00014775
12800,0.000149459
12900,0.000150083
13000,0.000149709
13100,0.000151292
13200,0.000152375
13300,0.000152917
13400,0.000153
13500,0.000154167
13600,0.000154583
13700,0.000155375
13800,0.000156458
13900,0.000157209
14000,0.000158208
14100,0.000162042
14200,0.000160209
14300,0.000161209
14400,0.000161042
14500,0.000162167
14600,0.000163333
14700,0.000164833
14800,0.000164833
14900,0.00016575
15000,0.000168334
15100,0.000170125
15200,0.000170625
15300,0.000172084
15400,0.000172042
15500,0.000172666
15600,0.000159
15700,0.00016025
15800,0.000165541
15900,0.000162625
16000,0.000163334
16100,0.000188042
16200,0.000195792
16300,0.00016925
16400,0.000168208
16500,0.000168667
16600,0.000167875
16700,0.000168458
16800,0.000168292
16900,0.00016975
17000,0.000169792
17100,0.000170792
17200,0.000174292
17300,0.000172875
17400,0.000173459
17500,0.000173833
17600,0.000175416
17700,0.000175417
17800,0.000176333
17900,0.000178333
18000,0.000181125
18100,0.000181583
18200,0.000184958
18300,0.000174
18400,0.000172459
18500,0.000172292
18600,0.000173292
18700,0.00017475
18800,0.000175167
18900,0.000174833
19000,0.00017775
19100,0.000176291
19200,0.000175959
19300,0.000179792
19400,0.000177708
19500,0.000179375
19600,0.000182666
19700,0.00018
19800,0.00018025
19900,0.000181375
20000,0.000181916
20100,0.00018325
20200,0.000183667
20300,0.000184417
20400,0.000184875
20500,0.000186083
20600,0.000187375
20700,0.000187916
20800,0.000188083
20900,0.000190541
21000,0.000190125
21100,0.000191709
21200,0.000191708
21300,0.000192
21400,0.000192833
21500,0.000191708
21600,0.000179916
21700,0.000180417
21800,0.000182459
21900,0.000182792
22000,0.000183458
22100,0.000184125
22200,0.000184541
22300,0.000185375
22400,0.000186334
22500,0.000186792
22600,0.000188
22700,0.000188666
22800,0.000194917
22900,0.000193166
23000,0.000192833
23100,0.000193166
23200,0.000194333
23300,0.000194708
23400,0.000197917
23500,0.000195333
23600,0.000195917
23700,0.000197917
23800,0.000199417
23900,0.000199667
24000,0.000199833
24100,0.00020075
24200,0.000201333
24300,0.000202208
24400,0.000206291
24500,0.00020425
24600,0.000221
24700,0.000204875
24800,0.000205625
24900,0.000206167
25000,0.00020775
25100,0.000211583
25200,0.000207708
25300,0.000210333
25400,0.000209917
25500,0.000212334
25600,0.000211541
25700,0.00021025
25800,0.000206042
25900,0.000209583
26000,0.000206833
26100,0.000208667
26200,0.000207625
26300,0.000208833
26400,0.000209917
26500,0.0002115
26600,0.000211209
26700,0.000212792
26800,0.000216
26900,0.000214375
27000,0.000214959
27100,0.000217333
27200,0.00021625
27300,0.000217
27400,0.000214208
27500,0.000214792
27600,0.000214291
27700,0.000215584
27800,0.000216334
27900,0.000217166
28000,0.000217291
28100,0.000218417
28200,0.000220709
28300,0.000222
28400,0.000222958
28500,0.000222042
28600,0.000223375
28700,0.000222625
28800,0.000223375
28900,0.00022825
29000,0.000226625
29100,0.000227833
29200,0.000226916
29300,0.000227791
29400,0.000228875
29500,0.000228791
29600,0.000230417
29700,0.000229625
29800,0.000231
29900,0.000231625
