n,t
0,0.000004
100,0.000020
200,0.000044
300,0.000070
400,0.000096
500,0.000126
600,0.000155
700,0.000184
800,0.000212
900,0.000245
1000,0.000237
1100,0.000255
1200,0.000280
1300,0.000306
1400,0.000331
1500,0.000359
1600,0.000608
1700,0.000623
1800,0.000658
1900,0.000545
2000,0.000582
2100,0.000613
2200,0.000648
2300,0.000671
2400,0.000703
2500,0.000738
2600,0.000768
2700,0.000806
2800,0.000838
2900,0.000875
3000,0.000927
3100,0.000849
3200,0.000772
3300,0.000546
3400,0.000838
3500,0.000889
3600,0.000916
3700,0.000953
3800,0.000978
3900,0.001005
4000,0.001032
4100,0.001062
4200,0.001089
4300,0.001037
4400,0.000984
4500,0.001007
4600,0.001031
4700,0.001056
4800,0.001092
4900,0.001115
5000,0.001134
5100,0.001159
5200,0.001031
5300,0.001061
5400,0.001075
5500,0.001094
5600,0.001114
5700,0.001142
5800,0.001166
5900,0.001185
6000,0.001102
6100,0.001092
6200,0.001114
6300,0.001126
6400,0.001143
6500,0.001172
6600,0.001191
6700,0.001207
6800,0.001148
6900,0.001126
7000,0.001137
7100,0.001166
7200,0.001183
7300,0.001194
7400,0.001187
7500,0.001128
7600,0.001149
7700,0.001165
7800,0.001176
7900,0.001200
8000,0.001211
8100,0.001141
8200,0.001156
8300,0.001166
8400,0.001181
8500,0.001204
8600,0.001213
8700,0.001158
8800,0.001169
8900,0.001180
9000,0.001194
9100,0.001210
9200,0.001231
9300,0.001236
9400,0.001239
9500,0.001208
9600,0.001194
9700,0.001201
9800,0.001224
9900,0.001229
10000,0.001255
10100,0.001257
10200,0.001273
10300,0.001278
10400,0.001260
10500,0.001270
10600,0.001285
10700,0.001297
10800,0.001315
10900,0.001304
11000,0.001322
11100,0.001334
11200,0.001346
11300,0.001359
11400,0.001370
11500,0.001365
11600,0.001372
11700,0.001393
11800,0.001405
11900,0.001415
12000,0.001429
12100,0.001448
12200,0.001456
12300,0.001469
12400,0.001482
12500,0.001496
12600,0.001519
12700,0.001527
12800,0.001533
12900,0.001546
13000,0.001560
13100,0.001579
13200,0.001590
13300,0.001605
13400,0.001614
13500,0.001629
13600,0.001632
13700,0.001656
13800,0.001676
13900,0.001694
14000,0.001692
14100,0.001704
14200,0.001717
14300,0.001755
14400,0.001751
14500,0.001759
14600,0.001771
14700,0.001782
14800,0.001803
14900,0.001817
15000,0.001832
15100,0.001842
15200,0.001862
15300,0.001862
15400,0.001887
15500,0.001894
15600,0.001915
15700,0.001925
15800,0.001999
15900,0.002055
16000,0.002119
16100,0.002151
16200,0.002086
16300,0.002003
16400,0.002025
16500,0.002027
16600,0.002048
16700,0.002054
16800,0.002074
16900,0.002083
17000,0.002098
17100,0.002106
17200,0.002129
17300,0.002142
17400,0.002160
17500,0.002165
17600,0.002175
17700,0.002196
17800,0.002209
17900,0.002218
18000,0.002230
18100,0.002262
18200,0.002259
18300,0.002288
18400,0.002296
18500,0.002300
18600,0.002318
18700,0.002328
18800,0.002341
18900,0.002352
19000,0.002370
19100,0.002380
19200,0.002397
19300,0.002413
19400,0.002428
19500,0.002432
19600,0.002449
19700,0.002467
19800,0.002484
19900,0.002492
20000,0.002700
20100,0.002525
20200,0.002547
20300,0.002543
20400,0.002556
20500,0.002583
20600,0.002588
20700,0.002597
20800,0.002621
20900,0.002631
21000,0.002638
21100,0.002654
21200,0.002686
21300,0.002683
21400,0.002707
21500,0.002709
21600,0.002728
21700,0.002746
21800,0.002753
21900,0.002775
22000,0.002813
22100,0.002797
22200,0.002825
22300,0.002853
22400,0.002839
22500,0.002849
22600,0.002872
22700,0.002881
22800,0.002895
22900,0.002905
23000,0.002922
23100,0.002936
23200,0.002955
23300,0.002961
23400,0.002994
23500,0.003046
23600,0.003018
23700,0.003060
23800,0.003048
23900,0.003050
24000,0.003059
24100,0.003082
24200,0.003088
24300,0.003106
24400,0.003135
24500,0.003129
24600,0.003149
24700,0.003164
24800,0.003177
24900,0.003191
25000,0.003203
25100,0.003218
25200,0.003236
25300,0.003245
25400,0.003255
25500,0.003275
25600,0.003286
25700,0.003298
25800,0.003318
25900,0.003334
26000,0.003340
26100,0.003358
26200,0.003378
26300,0.003408
26400,0.003402
26500,0.003424
26600,0.003434
26700,0.003449
26800,0.003456
26900,0.003466
27000,0.003488
27100,0.003500
27200,0.003510
27300,0.003530
27400,0.003538
27500,0.003554
27600,0.003569
27700,0.003585
27800,0.003602
27900,0.003614
28000,0.003657
28100,0.003654
28200,0.003665
28300,0.003694
28400,0.003686
28500,0.003707
28600,0.003727
28700,0.003736
28800,0.003744
28900,0.003766
29000,0.003770
29100,0.003793
29200,0.003800
29300,0.003824
29400,0.003830
29500,0.003857
29600,0.003882
29700,0.003871
29800,0.003897
29900,0.003898
