n,t
0,8.3e-8
100,3.709e-6
200,7.792e-6
300,1.2375e-5
400,1.6625e-5
500,2.1333e-5
600,2.6084e-5
700,3.1042e-5
800,3.625e-5
900,4.1167e-5
1000,4.7166e-5
1100,5.2083e-5
1200,5.7042e-5
1300,6.2292e-5
1400,6.7541e-5
1500,7.2875e-5
1600,7.8583e-5
1700,8.4666e-5
1800,8.9875e-5
1900,9.5875e-5
2000,0.0001015
2100,0.0001075
2200,0.00011275
2300,0.000119125
2400,0.000124333
2500,0.0001285
2600,0.000135083
2700,0.000141292
2800,0.000157209
2900,0.000163459
3000,0.000170458
3100,0.000176292
3200,0.000183125
3300,0.000188417
3400,0.000195583
3500,0.000201709
3600,0.000207958
3700,0.0002145
3800,0.000221208
3900,0.000228084
4000,0.000235292
4100,0.000242333
4200,0.000249083
4300,0.0002545
4400,0.000266042
4500,0.000272042
4600,0.000274083
4700,0.000280041
4800,0.000288708
4900,0.000296292
5000,0.000300625
5100,0.000306709
5200,0.000313458
5300,0.000319208
5400,0.000328917
5500,0.00033275
5600,0.000391459
5700,0.000457708
5800,0.000467583
5900,0.00047525
6000,0.000447041
6100,0.000439708
6200,0.00044975
6300,0.000458459
6400,0.000466209
6500,0.00047225
6600,0.000482583
6700,0.000488625
6800,0.000501875
6900,0.000507042
7000,0.000514917
7100,0.00052225
7200,0.000529791
7300,0.000544792
7400,0.000552583
7500,0.000557
7600,0.000568667
7700,0.000571416
7800,0.000531375
7900,0.000539
8000,0.000555083
8100,0.0005565
8200,0.000563417
8300,0.000573459
8400,0.000581333
8500,0.000585375
8600,0.000594916
8700,0.0006035
8800,0.000608916
8900,0.000619
9000,0.000592042
9100,0.000580583
9200,0.0005875
9300,0.00060325
9400,0.000600291
9500,0.0006135
9600,0.00061375
9700,0.000618875
9800,0.000628083
9900,0.000605708
10000,0.00060275
10100,0.000608583
10200,0.000615042
10300,0.00062025
10400,0.000629041
10500,0.00063225
10600,0.000644459
10700,0.000652083
10800,0.000655
10900,0.000659375
11000,0.000668958
11100,0.000680416
11200,0.000679958
11300,0.000687333
11400,0.00069225
11500,0.000690458
11600,0.000654125
11700,0.000661333
11800,0.000677667
11900,0.000674209
12000,0.000681417
12100,0.000691666
12200,0.000698542
12300,0.000701958
12400,0.000708
12500,0.000713792
12600,0.000718
12700,0.000719916
12800,0.000729167
12900,0.000736375
13000,0.000742208
13100,0.000727417
13200,0.0007535
13300,0.0007485
13400,0.000771208
13500,0.000775209
13600,0.000782375
13700,0.000786959
13800,0.000786
13900,0.000798542
14000,0.000866834
14100,0.000822833
14200,0.000821541
14300,0.000811042
14400,0.000826083
14500,0.000826042
14600,0.000845041
14700,0.000843125
14800,0.000813833
14900,0.000808125
15000,0.000813042
15100,0.000822541
15200,0.000852458
15300,0.000859292
15400,0.000835875
15500,0.000851417
15600,0.000849792
15700,0.000866209
15800,0.000884583
15900,0.000910917
16000,0.000902292
16100,0.000882459
16200,0.000888916
16300,0.000892709
16400,0.000897041
16500,0.00090475
16600,0.000910625
16700,0.000916542
16800,0.000920917
16900,0.000942208
17000,0.000941917
17100,0.000982083
17200,0.000982333
17300,0.000988792
17400,0.000995542
17500,0.00099725
17600,0.001003125
17700,0.001009667
17800,0.001022292
17900,0.001024708
18000,0.001035541
18100,0.001035583
18200,0.001038417
18300,0.001052667
18400,0.001057833
18500,0.00106225
18600,0.001072
18700,0.001074584
18800,0.001079916
18900,0.001087875
19000,0.001096792
19100,0.001069416
19200,0.001072833
19300,0.001071333
19400,0.0010785
19500,0.001083833
19600,0.001093917
19700,0.001129125
19800,0.001111291
19900,0.001111917
20000,0.001118208
20100,0.001119083
20200,0.001127958
20300,0.001135041
20400,0.001139791
20500,0.001153917
20600,0.001156042
20700,0.001157458
20800,0.001160708
20900,0.001170167
21000,0.0011755
21100,0.001181958
21200,0.001189792
21300,0.001203209
21400,0.001201041
21500,0.001208042
21600,0.001241834
21700,0.001213584
21800,0.001227917
21900,0.001225833
22000,0.001235542
22100,0.001249334
22200,0.00124925
22300,0.001252708
22400,0.001261709
22500,0.001263334
22600,0.001278708
22700,0.001280791
22800,0.0012915
22900,0.0013065
23000,0.001339583
23100,0.001374125
23200,0.001340667
23300,0.001314542
23400,0.001318708
23500,0.001339292
23600,0.001342208
23700,0.001344125
23800,0.001348166
23900,0.001350042
24000,0.001358333
24100,0.001379291
24200,0.001417042
24300,0.001385834
24400,0.0013885
24500,0.001390875
24600,0.001407916
24700,0.00140225
24800,0.001412042
24900,0.001428166
25000,0.001420584
25100,0.00142775
25200,0.001434458
25300,0.001440583
25400,0.001446667
25500,0.001455167
25600,0.001479375
25700,0.001475334
25800,0.001476042
25900,0.001476709
26000,0.001479083
26100,0.001497416
26200,0.001497084
26300,0.001500625
26400,0.001511667
26500,0.001517458
26600,0.00152075
26700,0.001524541
26800,0.001541125
26900,0.001565125
27000,0.0015525
27100,0.001559
27200,0.001565542
27300,0.001573125
27400,0.0015705
27500,0.001580042
27600,0.001583
27700,0.001592
27800,0.001601542
27900,0.001610959
28000,0.001639792
28100,0.001613583
28200,0.001624083
28300,0.001635708
28400,0.001637
28500,0.001642584
28600,0.001650291
28700,0.001657916
28800,0.001676792
28900,0.001669125
29000,0.001703375
29100,0.001684833
29200,0.001690458
29300,0.001699875
29400,0.001703
29500,0.001707625
29600,0.00171875
29700,0.001753708
29800,0.001725584
29900,0.001730583
