n,t
0,0.000004
100,0.000016
200,0.000048
300,0.000103
400,0.000180
500,0.000276
600,0.000384
700,0.000512
800,0.000679
900,0.000878
1000,0.001053
1100,0.001269
1200,0.001497
1300,0.001527
1400,0.001710
1500,0.001966
1600,0.002223
1700,0.002485
1800,0.002704
1900,0.002692
2000,0.002960
2100,0.003258
2200,0.003140
2300,0.003347
2400,0.003635
2500,0.003527
2600,0.003794
2700,0.003904
2800,0.003876
2900,0.004020
3000,0.004134
3100,0.004258
3200,0.004379
3300,0.004320
3400,0.004493
3500,0.004633
3600,0.004689
3700,0.004983
3800,0.005022
3900,0.005301
4000,0.005512
4100,0.005664
4200,0.005924
4300,0.006185
4400,0.006538
4500,0.006805
4600,0.007154
4700,0.007492
4800,0.007760
4900,0.008219
5000,0.008350
5100,0.008725
5200,0.009156
5300,0.009714
5400,0.010016
5500,0.010313
5600,0.010690
5700,0.010897
5800,0.011338
5900,0.012016
6000,0.012219
6100,0.012513
6200,0.013071
6300,0.013415
6400,0.013927
6500,0.014334
6600,0.014718
6700,0.015244
6800,0.015612
6900,0.016248
7000,0.016670
7100,0.017050
7200,0.017691
7300,0.018150
7400,0.018645
7500,0.019101
7600,0.019628
7700,0.020225
7800,0.020786
7900,0.021362
8000,0.021941
8100,0.022425
8200,0.023303
8300,0.024016
8400,0.024222
8500,0.024702
8600,0.025453
8700,0.026088
8800,0.026321
8900,0.027721
9000,0.028373
9100,0.037200
9200,0.039346
9300,0.036647
9400,0.032260
9500,0.031305
9600,0.031899
9700,0.032488
9800,0.033322
9900,0.033790
10000,0.034296
10100,0.035446
10200,0.037558
10300,0.038621
10400,0.037446
10500,0.037752
10600,0.038823
10700,0.039346
10800,0.040227
10900,0.040918
11000,0.041565
11100,0.042217
11200,0.042973
11300,0.056366
11400,0.045548
11500,0.045533
11600,0.047796
11700,0.046727
11800,0.047558
11900,0.048416
12000,0.050010
12100,0.050695
12200,0.050982
12300,0.051799
12400,0.052893
12500,0.053648
12600,0.054518
12700,0.055296
12800,0.056074
12900,0.056855
13000,0.057868
13100,0.058895
13200,0.059765
13300,0.060506
13400,0.061709
13500,0.062511
13600,0.063228
13700,0.064204
13800,0.065238
13900,0.066165
14000,0.067168
14100,0.068166
14200,0.069206
14300,0.070373
14400,0.072589
14500,0.072925
14600,0.072974
14700,0.074300
14800,0.075005
14900,0.076398
15000,0.077349
15100,0.078223
15200,0.079694
15300,0.080380
15400,0.081372
15500,0.082390
15600,0.083607
15700,0.084967
15800,0.085840
15900,0.087104
16000,0.087730
16100,0.089321
16200,0.090381
16300,0.091545
16400,0.094450
16500,0.096321
16600,0.094682
16700,0.095896
16800,0.097034
16900,0.129396
17000,0.130679
17100,0.114475
17200,0.112777
17300,0.106709
17400,0.115335
17500,0.109996
17600,0.110327
17700,0.106538
17800,0.107563
17900,0.109490
18000,0.110134
18100,0.113127
18200,0.113709
18300,0.115064
18400,0.116695
18500,0.124209
18600,0.123273
18700,0.124789
18800,0.122924
18900,0.126102
19000,0.128950
19100,0.128659
19200,0.131590
19300,0.133116
19400,0.133411
19500,0.134729
19600,0.135601
19700,0.133880
19800,0.136203
19900,0.137928
20000,0.140880
20100,0.143278
20200,0.144476
20300,0.146186
20400,0.147218
20500,0.148644
20600,0.150543
20700,0.153076
20800,0.153480
20900,0.155495
21000,0.156639
21100,0.158523
21200,0.158445
21300,0.157308
21400,0.160278
21500,0.160964
21600,0.161012
21700,0.164752
21800,0.168878
21900,0.169603
22000,0.172127
22100,0.173358
22200,0.173856
22300,0.175404
22400,0.176890
22500,0.178892
22600,0.180117
22700,0.183289
22800,0.185303
22900,0.185619
23000,0.187104
23100,0.191892
23200,0.191471
23300,0.193165
23400,0.193096
23500,0.194789
23600,0.194504
23700,0.192036
23800,0.198737
23900,0.200653
24000,0.202126
24100,0.206898
24200,0.208052
24300,0.208563
24400,0.210870
24500,0.213713
24600,0.225966
24700,0.226234
24800,0.219853
24900,0.218629
25000,0.226463
25100,0.219993
25200,0.223029
25300,0.220785
25400,0.222431
25500,0.230563
25600,0.222776
25700,0.225086
25800,0.230104
25900,0.248300
26000,0.240845
26100,0.243622
26200,0.241795
26300,0.244348
26400,0.245011
26500,0.244084
26600,0.244295
26700,0.246695
26800,0.248325
26900,0.250722
27000,0.254164
27100,0.269669
27200,0.261338
27300,0.264132
27400,0.260110
27500,0.260793
27600,0.270830
27700,0.271990
27800,0.274096
27900,0.275846
28000,0.277720
28100,0.291534
28200,0.315148
28300,0.301237
28400,0.295377
28500,0.298559
28600,0.292598
28700,0.290394
28800,0.292880
28900,0.298811
29000,0.297640
29100,0.303343
29200,0.314352
29300,0.305757
29400,0.310915
29500,0.305210
29600,0.302997
29700,0.305842
29800,0.306552
29900,0.309833
