n,t
0,8.3e-8
100,2.75e-6
200,8.25e-6
300,1.7208e-5
400,2.925e-5
500,4.3959e-5
600,6.1208e-5
700,8.3916e-5
800,0.000109625
900,0.000133667
1000,0.000168458
1100,0.000202458
1200,0.000243375
1300,0.000282833
1400,0.000325708
1500,0.00038
1600,0.000417
1700,0.000466917
1800,0.0005285
1900,0.000654291
2000,0.000808666
2100,0.000910625
2200,0.000885125
2300,0.000950333
2400,0.00103
2500,0.001137041
2600,0.001194333
2700,0.001270791
2800,0.001406084
2900,0.001510417
3000,0.001482125
3100,0.001579875
3200,0.001700209
3300,0.00178675
3400,0.001847
3500,0.001833958
3600,0.001960375
3700,0.002052375
3800,0.002071375
3900,0.002765084
4000,0.00226125
4100,0.002373708
4200,0.002459167
4300,0.002380834
4400,0.002540916
4500,0.002650833
4600,0.002760709
4700,0.002822583
4800,0.002903791
4900,0.002994375
5000,0.003071667
5100,0.003243375
5200,0.003327958
5300,0.003473792
5400,0.00378825
5500,0.003832459
5600,0.005152875
5700,0.004024375
5800,0.004321792
5900,0.004436
6000,0.004582583
6100,0.004625417
6200,0.004821291
6300,0.004710333
6400,0.005052
6500,0.005129333
6600,0.005303458
6700,0.005413125
6800,0.00561225
6900,0.005721125
7000,0.005860583
7100,0.006087084
7200,0.006232041
7300,0.00646925
7400,0.006670625
7500,0.006764583
7600,0.009182375
7700,0.007126958
7800,0.007362666
7900,0.007535667
8000,0.007788667
8100,0.007795625
8200,0.008157334
8300,0.009483875
8400,0.009095
8500,0.0089425
8600,0.010819417
8700,0.009343583
8800,0.009502417
8900,0.009772375
9000,0.009906083
9100,0.010160667
9200,0.010407
9300,0.010521167
9400,0.011127625
9500,0.012647167
9600,0.01131375
9700,0.011538709
9800,0.012106375
9900,0.012148291
10000,0.012546541
10100,0.012650875
10200,0.013083
10300,0.013031083
10400,0.013593833
10500,0.013717167
10600,0.013960375
10700,0.014322791
10800,0.014425625
10900,0.014753042
11000,0.014952334
11100,0.015198
11200,0.015558042
11300,0.015928875
11400,0.016083875
11500,0.016389209
11600,0.016867916
11700,0.016724041
11800,0.019007042
11900,0.017450792
12000,0.017402875
12100,0.0179445
12200,0.018289958
12300,0.018478208
12400,0.018600417
12500,0.019122208
12600,0.019397625
12700,0.019794
12800,0.019817167
12900,0.020320583
13000,0.0205735
13100,0.020907625
13200,0.020781459
13300,0.021438708
13400,0.02161075
13500,0.021910917
13600,0.024994417
13700,0.024084708
13800,0.023454916
13900,0.0233
14000,0.023666417
14100,0.024122375
14200,0.024297542
14300,0.024877792
14400,0.025521
14500,0.025806042
14600,0.025892375
14700,0.026675667
14800,0.026822334
14900,0.028174209
15000,0.027083375
15100,0.02772525
15200,0.027924417
15300,0.028206709
15400,0.030314916
15500,0.032014291
15600,0.030522834
15700,0.030264709
15800,0.033475625
15900,0.030641625
16000,0.031177917
16100,0.031752
16200,0.032309292
16300,0.033637625
16400,0.032661375
16500,0.032939625
16600,0.033267375
16700,0.033696542
16800,0.034422792
16900,0.03439875
17000,0.035729667
17100,0.035604292
17200,0.036129375
17300,0.03667225
17400,0.037592709
17500,0.037504042
17600,0.038370375
17700,0.0382555
17800,0.03911125
17900,0.039190875
18000,0.039395208
18100,0.039513291
18200,0.040715958
18300,0.042161875
18400,0.043244083
18500,0.044971375
18600,0.044562459
18700,0.044217125
18800,0.044538417
18900,0.045948792
19000,0.05338225
19100,0.045978584
19200,0.046142208
19300,0.048294416
19400,0.046756584
19500,0.047087125
19600,0.048073542
19700,0.047604375
19800,0.047908583
19900,0.048793875
20000,0.049677916
20100,0.05036775
20200,0.05110375
20300,0.051981667
20400,0.052050958
20500,0.055815333
20600,0.056210291
20700,0.05448125
20800,0.055293458
20900,0.055903917
21000,0.054888042
21100,0.0554025
21200,0.057100958
21300,0.059058167
21400,0.0627495
21500,0.058035708
21600,0.05826675
21700,0.059470708
21800,0.05946875
21900,0.059904
22000,0.066732833
22100,0.079816042
22200,0.064141
22300,0.066277708
22400,0.072170834
22500,0.065539208
22600,0.072634833
22700,0.067151417
22800,0.065699125
22900,0.068809334
23000,0.066621083
23100,0.081877917
23200,0.069892625
23300,0.0686205
23400,0.068046666
23500,0.068158208
23600,0.068558083
23700,0.070199542
23800,0.070866959
23900,0.071506208
24000,0.077008459
24100,0.072783625
24200,0.077056833
24300,0.073759208
24400,0.075000708
24500,0.09044875
24600,0.086073834
24700,0.075139791
24800,0.0755515
24900,0.076086458
25000,0.077097375
25100,0.077188417
25200,0.078076125
25300,0.078788542
25400,0.0799195
25500,0.082024208
25600,0.082548166
25700,0.094022834
25800,0.118379167
25900,0.083015041
26000,0.094338375
26100,0.083805083
26200,0.084325958
26300,0.084596625
26400,0.083990041
26500,0.084195125
26600,0.085611542
26700,0.085779083
26800,0.08791575
26900,0.088066708
27000,0.08865075
27100,0.088783541
27200,0.091812458
27300,0.092006291
27400,0.093178167
27500,0.092078209
27600,0.091818625
27700,0.093378208
27800,0.094237166
27900,0.093675375
28000,0.09547325
28100,0.096095416
28200,0.096223166
28300,0.096391708
28400,0.096888625
28500,0.098522917
28600,0.099373458
28700,0.100404
28800,0.10114475
28900,0.10239825
29000,0.103404334
29100,0.104218458
29200,0.104939375
29300,0.106563
29400,0.104153291
29500,0.104990166
29600,0.106671
29700,0.106711958
29800,0.108641959
29900,0.109721792
