n,t
0,0.000004
100,0.000042
200,0.000059
300,0.000103
400,0.000125
500,0.000172
600,0.000196
700,0.000249
800,0.000263
900,0.000312
1000,0.000335
1100,0.000331
1200,0.000340
1300,0.000368
1400,0.000397
1500,0.000455
1600,0.000777
1700,0.000850
1800,0.000650
1900,0.000705
2000,0.000753
2100,0.000757
2200,0.000799
2300,0.000812
2400,0.000882
2500,0.000929
2600,0.000962
2700,0.000979
2800,0.000999
2900,0.000854
3000,0.000874
3100,0.000911
3200,0.000947
3300,0.000832
3400,0.000469
3500,0.000484
3600,0.000495
3700,0.000511
3800,0.000525
3900,0.000540
4000,0.001185
4100,0.001229
4200,0.001277
4300,0.001131
4400,0.001160
4500,0.001173
4600,0.001189
4700,0.001221
4800,0.001254
4900,0.001285
5000,0.001266
5100,0.001171
5200,0.001195
5300,0.001222
5400,0.001245
5500,0.001265
5600,0.001285
5700,0.001309
5800,0.001201
5900,0.001205
6000,0.001218
6100,0.001238
6200,0.001275
6300,0.001296
6400,0.001315
6500,0.001290
6600,0.001225
6700,0.001241
6800,0.001263
6900,0.001281
7000,0.001299
7100,0.001255
7200,0.001218
7300,0.001241
7400,0.001263
7500,0.001288
7600,0.001294
7700,0.001237
7800,0.001227
7900,0.001241
8000,0.001257
8100,0.001275
8200,0.001291
8300,0.001247
8400,0.001247
8500,0.001268
8600,0.001286
8700,0.001299
8800,0.001315
8900,0.001337
9000,0.001287
9100,0.001253
9200,0.001265
9300,0.001284
9400,0.001303
9500,0.001322
9600,0.001344
9700,0.001355
9800,0.001389
9900,0.001339
10000,0.001356
10100,0.001369
10200,0.001381
10300,0.001405
10400,0.001400
10500,0.001414
10600,0.001425
10700,0.001437
10800,0.001456
10900,0.001453
11000,0.001446
11100,0.001502
11200,0.001471
11300,0.001485
11400,0.001500
11500,0.001514
11600,0.001531
11700,0.001541
11800,0.001553
11900,0.001567
12000,0.001579
12100,0.001592
12200,0.001604
12300,0.001622
12400,0.001647
12500,0.001656
12600,0.001673
12700,0.001686
12800,0.001707
12900,0.001722
13000,0.001733
13100,0.001753
13200,0.001761
13300,0.001788
13400,0.001791
13500,0.001811
13600,0.001819
13700,0.001833
13800,0.001853
13900,0.001863
14000,0.001873
14100,0.001885
14200,0.001898
14300,0.001912
14400,0.001923
14500,0.001943
14600,0.001955
14700,0.001968
14800,0.001985
14900,0.002004
15000,0.002013
15100,0.002036
15200,0.002047
15300,0.002084
15400,0.002069
15500,0.002086
15600,0.002099
15700,0.002113
15800,0.002127
15900,0.002148
16000,0.002151
16100,0.002228
16200,0.002174
16300,0.002191
16400,0.002208
16500,0.002232
16600,0.002256
16700,0.002276
16800,0.002296
16900,0.002299
17000,0.002317
17100,0.002332
17200,0.002349
17300,0.002360
17400,0.002370
17500,0.002390
17600,0.002409
17700,0.002422
17800,0.002434
17900,0.002447
18000,0.002477
18100,0.002469
18200,0.002476
18300,0.002489
18400,0.002493
18500,0.002509
18600,0.002529
18700,0.002555
18800,0.002565
18900,0.002588
19000,0.002612
19100,0.002620
19200,0.002634
19300,0.002649
19400,0.002664
19500,0.002682
19600,0.002703
19700,0.002709
19800,0.002730
19900,0.002743
20000,0.002759
20100,0.002779
20200,0.002789
20300,0.002801
20400,0.002843
20500,0.002837
20600,0.002854
20700,0.002873
20800,0.002889
20900,0.002905
21000,0.002919
21100,0.002928
21200,0.002946
21300,0.002957
21400,0.003007
21500,0.003033
21600,0.003158
21700,0.003134
21800,0.003039
21900,0.003056
22000,0.003062
22100,0.003072
22200,0.003085
22300,0.003097
22400,0.003121
22500,0.003119
22600,0.003146
22700,0.003147
22800,0.003190
22900,0.003175
23000,0.003192
23100,0.003236
23200,0.003224
23300,0.003262
23400,0.003258
23500,0.003266
23600,0.003281
23700,0.003298
23800,0.003304
23900,0.003319
24000,0.003337
24100,0.003350
24200,0.003361
24300,0.003403
24400,0.003381
24500,0.003403
24600,0.003432
24700,0.003434
24800,0.003463
24900,0.003475
25000,0.003491
25100,0.003519
25200,0.003526
25300,0.003549
25400,0.003564
25500,0.003575
25600,0.003592
25700,0.003610
25800,0.003628
25900,0.003649
26000,0.003651
26100,0.003697
26200,0.003687
26300,0.003698
26400,0.003723
26500,0.003729
26600,0.003743
26700,0.003787
26800,0.003769
26900,0.003797
27000,0.003806
27100,0.003844
27200,0.003856
27300,0.003844
27400,0.003866
27500,0.003877
27600,0.003892
27700,0.003916
27800,0.003917
27900,0.003933
28000,0.003938
28100,0.003963
28200,0.003972
28300,0.003981
28400,0.004004
28500,0.004008
28600,0.004020
28700,0.004067
28800,0.004059
28900,0.004069
29000,0.004084
29100,0.004108
29200,0.004154
29300,0.004138
29400,0.004154
29500,0.004178
29600,0.004179
29700,0.004213
29800,0.004210
29900,0.004223
