n,t
0,8.3e-8
100,1.6958e-5
200,3.2166e-5
300,5.1875e-5
400,7.0667e-5
500,8.4375e-5
600,0.000106
700,0.000124125
800,0.000142667
900,0.000156833
1000,0.000169333
1100,0.000173
1200,0.000191375
1300,0.000211167
1400,0.000223041
1500,0.00024075
1600,0.000268541
1700,0.000309291
1800,0.000317959
1900,0.00033425
2000,0.000347458
2100,0.00033775
2200,0.000346291
2300,0.000362709
2400,0.000388542
2500,0.000397333
2600,0.00044325
2700,0.000432541
2800,0.000453417
2900,0.000475417
3000,0.000488333
3100,0.000564459
3200,0.000577292
3300,0.000658458
3400,0.0006825
3500,0.000697709
3600,0.000711417
3700,0.000729292
3800,0.00074325
3900,0.00076
4000,0.000779208
4100,0.000721916
4200,0.000759167
4300,0.000762333
4400,0.000779958
4500,0.000799291
4600,0.000788166
4700,0.000766583
4800,0.000783584
4900,0.000803792
5000,0.000812625
5100,0.000831042
5200,0.000860208
5300,0.000869792
5400,0.000890166
5500,0.000891125
5600,0.000852
5700,0.000878458
5800,0.000889584
5900,0.000910917
6000,0.000921875
6100,0.000936875
6200,0.000968917
6300,0.000984958
6400,0.00093725
6500,0.001048583
6600,0.001068209
6700,0.00109525
6800,0.001099458
6900,0.001114584
7000,0.001125166
7100,0.001136333
7200,0.001127
7300,0.00107825
7400,0.001115125
7500,0.0010505
7600,0.001058875
7700,0.001108459
7800,0.00115675
7900,0.001153792
8000,0.001161625
8100,0.001052958
8200,0.001059583
8300,0.00110525
8400,0.00111325
8500,0.001084
8600,0.001098166
8700,0.001107875
8800,0.001127792
8900,0.001138292
9000,0.001138792
9100,0.001155042
9200,0.001163875
9300,0.001197
9400,0.001188791
9500,0.001208333
9600,0.001208917
9700,0.001214834
9800,0.001237625
9900,0.001259667
10000,0.0012815
10100,0.001298916
10200,0.00129725
10300,0.001309125
10400,0.001334417
10500,0.001341333
10600,0.001354208
10700,0.001369417
10800,0.001383791
10900,0.001400542
11000,0.001412333
11100,0.00144325
11200,0.001440166
11300,0.0014675
11400,0.001479417
11500,0.001489625
11600,0.001502167
11700,0.001517417
11800,0.0015985
11900,0.00156325
12000,0.001552209
12100,0.001570583
12200,0.001578375
12300,0.001607958
12400,0.00173325
12500,0.0018045
12600,0.001837708
12700,0.001856583
12800,0.001888375
12900,0.001800834
13000,0.001783084
13100,0.001800917
13200,0.001797917
13300,0.001811833
13400,0.001974417
13500,0.002047375
13600,0.002094625
13700,0.002162625
13800,0.00218775
13900,0.002115208
14000,0.002117166
14100,0.002129209
14200,0.002140042
14300,0.00213575
14400,0.00210175
14500,0.002166292
14600,0.002170625
14700,0.002199208
14800,0.002186375
14900,0.002243458
15000,0.002311625
15100,0.002298625
15200,0.002387125
15300,0.002342083
15400,0.00236625
15500,0.00240575
15600,0.002384833
15700,0.002270833
15800,0.002249291
15900,0.002278209
16000,0.00218675
16100,0.002142208
16200,0.002041416
16300,0.002048167
16400,0.002112417
16500,0.002089959
16600,0.002199541
16700,0.002254375
16800,0.002230166
16900,0.002133375
17000,0.002140625
17100,0.002156333
17200,0.002173708
17300,0.002224375
17400,0.002200291
17500,0.002219625
17600,0.002237
17700,0.002278
17800,0.002314416
17900,0.002280417
18000,0.002336125
18100,0.002315
18200,0.002329667
18300,0.002375375
18400,0.002342584
18500,0.002346792
18600,0.002412334
18700,0.002415917
18800,0.002400459
18900,0.0024125
19000,0.002440792
19100,0.002461333
19200,0.00252475
19300,0.002524125
19400,0.002557083
19500,0.002582667
19600,0.002558667
19700,0.002566833
19800,0.002571583
19900,0.002605542
20000,0.002613375
20100,0.002614625
20200,0.002620208
20300,0.002629666
20400,0.002639167
20500,0.002662917
20600,0.002729666
20700,0.002732666
20800,0.00272875
20900,0.002757208
21000,0.002755333
21100,0.002763167
21200,0.002787334
21300,0.002804834
21400,0.002809583
21500,0.002824791
21600,0.002860833
21700,0.002869375
21800,0.002903084
21900,0.002931875
22000,0.002908792
22100,0.002925916
22200,0.002939542
22300,0.002960833
22400,0.002971208
22500,0.002982458
22600,0.003081583
22700,0.003075541
22800,0.003030083
22900,0.003051041
23000,0.003057667
23100,0.003079958
23200,0.003089542
23300,0.003100584
23400,0.003112625
23500,0.003143
23600,0.00318275
23700,0.003147375
23800,0.0031595
23900,0.003170125
24000,0.003179791
24100,0.003239
24200,0.003209375
24300,0.003214917
24400,0.003226166
24500,0.003235417
24600,0.003274084
24700,0.003381167
24800,0.003520042
24900,0.003592792
25000,0.003657125
25100,0.003650666
25200,0.003774958
25300,0.003788291
25400,0.003805875
25500,0.003848833
25600,0.003825417
25700,0.003895625
25800,0.003908583
25900,0.003906292
26000,0.003922084
26100,0.003934584
26200,0.003958542
26300,0.003957583
26400,0.003961375
26500,0.003984417
26600,0.00399225
26700,0.003998125
26800,0.004025291
26900,0.004032333
27000,0.00405175
27100,0.00406775
27200,0.004069
27300,0.004079459
27400,0.0041
27500,0.004100834
27600,0.00410875
27700,0.004137125
27800,0.004142917
27900,0.004129959
28000,0.004133041
28100,0.004148541
28200,0.004193417
28300,0.00418425
28400,0.004189208
28500,0.004195292
28600,0.004244375
28700,0.004256583
28800,0.004298625
28900,0.004266708
29000,0.004219958
29100,0.004232583
29200,0.004254875
29300,0.004246833
29400,0.004249833
29500,0.004268834
29600,0.004279292
29700,0.004292042
29800,0.0043005
29900,0.004304916
