n,t
0,0.000003
100,0.000044
200,0.000144
300,0.000310
400,0.000531
500,0.000807
600,0.001179
700,0.001545
800,0.001943
900,0.002074
1000,0.002551
1100,0.003049
1200,0.003639
1300,0.003639
1400,0.004228
1500,0.004550
1600,0.004799
1700,0.005051
1800,0.005287
1900,0.005541
2000,0.005711
2100,0.005874
2200,0.006062
2300,0.006139
2400,0.006605
2500,0.006717
2600,0.007099
2700,0.007412
2800,0.007871
2900,0.008339
3000,0.008861
3100,0.009505
3200,0.010369
3300,0.011025
3400,0.011429
3500,0.012062
3600,0.012768
3700,0.013542
3800,0.014320
3900,0.015039
4000,0.015783
4100,0.016521
4200,0.017555
4300,0.018247
4400,0.019106
4500,0.020021
4600,0.020925
4700,0.022006
4800,0.022736
4900,0.023742
5000,0.024799
5100,0.025629
5200,0.026696
5300,0.027706
5400,0.028697
5500,0.029693
5600,0.030920
5700,0.032044
5800,0.033009
5900,0.034357
6000,0.036051
6100,0.036488
6200,0.037722
6300,0.039220
6400,0.040102
6500,0.041518
6600,0.042923
6700,0.044049
6800,0.045364
6900,0.046761
7000,0.048165
7100,0.049620
7200,0.050726
7300,0.052510
7400,0.053507
7500,0.055649
7600,0.056732
7700,0.058176
7800,0.059963
7900,0.061340
8000,0.062734
8100,0.064515
8200,0.066509
8300,0.067625
8400,0.069186
8500,0.070740
8600,0.072499
8700,0.075018
8800,0.075858
8900,0.077959
9000,0.079566
9100,0.081043
9200,0.083018
9300,0.084998
9400,0.087110
9500,0.089359
9600,0.090286
9700,0.092980
9800,0.094455
9900,0.095684
10000,0.098343
10100,0.100203
10200,0.102083
10300,0.103990
10400,0.106165
10500,0.108160
10600,0.109860
10700,0.113768
10800,0.113892
10900,0.116536
11000,0.119043
11100,0.120674
11200,0.122819
11300,0.125156
11400,0.127571
11500,0.129452
11600,0.131787
11700,0.134705
11800,0.136089
11900,0.139304
12000,0.141186
12100,0.144128
12200,0.145632
12300,0.151400
12400,0.150645
12500,0.152908
12600,0.155040
12700,0.157506
12800,0.161021
12900,0.162936
13000,0.165748
13100,0.168142
13200,0.170743
13300,0.173155
13400,0.176007
13500,0.178773
13600,0.180561
13700,0.183798
13800,0.186695
13900,0.189230
14000,0.191346
14100,0.194083
14200,0.198028
14300,0.200411
14400,0.203610
14500,0.206242
14600,0.208038
14700,0.211250
14800,0.214460
14900,0.218668
15000,0.221232
15100,0.223901
15200,0.226252
15300,0.228952
15400,0.231542
15500,0.235450
15600,0.239149
15700,0.241453
15800,0.244582
15900,0.248443
16000,0.250493
16100,0.253011
16200,0.257561
16300,0.260335
16400,0.262977
16500,0.267120
16600,0.270179
16700,0.273780
16800,0.277151
16900,0.280010
17000,0.282801
17100,0.285560
17200,0.289220
17300,0.292794
17400,0.296031
17500,0.300405
17600,0.303572
17700,0.306768
17800,0.310096
17900,0.313776
18000,0.315704
18100,0.320461
18200,0.323873
18300,0.327514
18400,0.331960
18500,0.335046
18600,0.338079
18700,0.342524
18800,0.371096
18900,0.352970
19000,0.358493
19100,0.363518
19200,0.366204
19300,0.370817
19400,0.374325
19500,0.377540
19600,0.375720
19700,0.381457
19800,0.383720
19900,0.388431
20000,0.391430
20100,0.394935
20200,0.398552
20300,0.401938
20400,0.407169
20500,0.410528
20600,0.414996
20700,0.419827
20800,0.429884
20900,0.428129
21000,0.432234
21100,0.435561
21200,0.439784
21300,0.445373
21400,0.449054
21500,0.453384
21600,0.455374
21700,0.462435
21800,0.464991
21900,0.468594
22000,0.474177
22100,0.478852
22200,0.482087
22300,0.485258
22400,0.498917
22500,0.499963
22600,0.500438
22700,0.504312
22800,0.508808
22900,0.512254
23000,0.516050
23100,0.520325
23200,0.525033
23300,0.535308
23400,0.546556
23500,0.551268
23600,0.555419
23700,0.559324
23800,0.566232
23900,0.568849
24000,0.573739
24100,0.579030
24200,0.583141
24300,0.587908
24400,0.592729
24500,0.597708
24600,0.604328
24700,0.608933
24800,0.612345
24900,0.616708
25000,0.623048
25100,0.651728
25200,0.630728
25300,0.651132
25400,0.638663
25500,0.651582
25600,0.652910
25700,0.657027
25800,0.662883
25900,0.669058
26000,0.672921
26100,0.679335
26200,0.686054
26300,0.689952
26400,0.693610
26500,0.699747
26600,0.699716
26700,0.700045
26800,0.713469
26900,0.720178
27000,0.725997
27100,0.730421
27200,0.739580
27300,0.727608
27400,0.745730
27500,0.753531
27600,0.756634
27700,0.749768
27800,0.755500
27900,0.762074
28000,0.765027
28100,0.769670
28200,0.777916
28300,0.782886
28400,0.787197
28500,0.793593
28600,0.799500
28700,0.804702
28800,0.810516
28900,0.817770
29000,0.823787
29100,0.829545
29200,0.857367
29300,0.844126
29400,0.855073
29500,0.865824
29600,0.871986
29700,0.861485
29800,0.868930
29900,0.871859
