n,t
0,0.000003
100,0.000009
200,0.000016
300,0.000023
400,0.000030
500,0.000040
600,0.000044
700,0.000055
800,0.000059
900,0.000065
1000,0.000074
1100,0.000081
1200,0.000089
1300,0.000095
1400,0.000101
1500,0.000108
1600,0.000116
1700,0.000123
1800,0.000109
1900,0.000112
2000,0.000119
2100,0.000128
2200,0.000130
2300,0.000138
2400,0.000142
2500,0.000149
2600,0.000153
2700,0.000160
2800,0.000170
2900,0.000176
3000,0.000179
3100,0.000185
3200,0.000195
3300,0.000195
3400,0.000208
3500,0.000221
3600,0.000226
3700,0.000229
3800,0.000235
3900,0.000241
4000,0.000256
4100,0.000262
4200,0.000248
4300,0.000252
4400,0.000261
4500,0.000265
4600,0.000270
4700,0.000278
4800,0.000284
4900,0.000293
5000,0.000293
5100,0.000302
5200,0.000308
5300,0.000311
5400,0.000318
5500,0.000323
5600,0.000329
5700,0.000334
5800,0.000346
5900,0.000350
6000,0.000352
6100,0.000359
6200,0.000365
6300,0.000370
6400,0.000381
6500,0.000384
6600,0.000446
6700,0.000395
6800,0.000400
6900,0.000405
7000,0.000412
7100,0.000421
7200,0.000423
7300,0.000430
7400,0.000370
7500,0.000381
7600,0.000382
7700,0.000388
7800,0.000393
7900,0.000398
8000,0.000403
8100,0.000411
8200,0.000413
8300,0.000417
8400,0.000423
8500,0.000430
8600,0.000435
8700,0.000452
8800,0.000444
8900,0.000448
9000,0.000452
9100,0.000460
9200,0.000404
9300,0.000404
9400,0.000412
9500,0.000415
9600,0.000424
9700,0.000428
9800,0.000430
9900,0.000439
10000,0.000441
10100,0.000443
10200,0.000464
10300,0.000478
10400,0.000465
10500,0.000464
10600,0.000464
10700,0.000507
10800,0.000519
10900,0.000511
11000,0.000448
11100,0.000482
11200,0.000486
11300,0.000472
11400,0.000494
11500,0.000497
11600,0.000519
11700,0.000512
11800,0.000487
11900,0.000492
12000,0.000490
12100,0.000524
12200,0.000515
12300,0.000503
12400,0.000463
12500,0.000437
12600,0.000439
12700,0.000441
12800,0.000449
12900,0.000451
13000,0.000452
13100,0.000456
13200,0.000461
13300,0.000461
13400,0.000467
13500,0.000469
13600,0.000475
13700,0.000465
13800,0.000443
13900,0.000465
14000,0.000451
14100,0.000452
14200,0.000453
14300,0.000455
14400,0.000462
14500,0.000463
14600,0.000468
14700,0.000469
14800,0.000473
14900,0.000476
15000,0.000479
15100,0.000450
15200,0.000448
15300,0.000448
15400,0.000453
15500,0.000456
15600,0.000467
15700,0.000464
15800,0.000465
15900,0.000465
16000,0.000468
16100,0.000475
16200,0.000475
16300,0.000483
16400,0.000457
16500,0.000460
16600,0.000462
16700,0.000463
16800,0.000468
16900,0.000494
17000,0.000473
17100,0.000475
17200,0.000478
17300,0.000478
17400,0.000485
17500,0.000485
17600,0.000500
17700,0.000493
17800,0.000495
17900,0.000510
18000,0.000489
18100,0.000478
18200,0.000469
18300,0.000485
18400,0.000476
18500,0.000477
18600,0.000478
18700,0.000481
18800,0.000493
18900,0.000489
19000,0.000490
19100,0.000489
19200,0.000493
19300,0.000497
19400,0.000497
19500,0.000501
19600,0.000501
19700,0.000518
19800,0.000505
19900,0.000490
20000,0.000493
20100,0.000499
20200,0.000500
20300,0.000503
20400,0.000509
20500,0.000505
20600,0.000511
20700,0.000511
20800,0.000516
20900,0.000515
21000,0.000521
21100,0.000513
21200,0.000516
21300,0.000518
21400,0.000539
21500,0.000522
21600,0.000528
21700,0.000528
21800,0.000532
21900,0.000543
22000,0.000559
22100,0.000540
22200,0.000535
22300,0.000534
22400,0.000535
22500,0.000541
22600,0.000540
22700,0.000549
22800,0.000549
22900,0.000544
23000,0.000564
23100,0.000550
23200,0.000554
23300,0.000559
23400,0.000555
23500,0.000565
23600,0.000569
23700,0.000563
23800,0.000567
23900,0.000569
24000,0.000578
24100,0.000573
24200,0.000575
24300,0.000577
24400,0.000589
24500,0.000580
24600,0.000596
24700,0.000603
24800,0.000594
24900,0.000600
25000,0.000599
25100,0.000606
25200,0.000603
25300,0.000607
25400,0.000613
25500,0.000612
25600,0.000615
25700,0.000620
25800,0.000617
25900,0.000638
26000,0.000628
26100,0.000626
26200,0.000630
26300,0.000630
26400,0.000635
26500,0.000635
26600,0.000648
26700,0.000647
26800,0.000645
26900,0.000639
27000,0.000645
27100,0.000650
27200,0.000661
27300,0.000657
27400,0.000651
27500,0.000663
27600,0.000662
27700,0.000661
27800,0.000673
27900,0.000666
28000,0.000671
28100,0.000678
28200,0.000676
28300,0.000684
28400,0.000699
28500,0.000678
28600,0.000687
28700,0.000687
28800,0.000687
28900,0.000694
29000,0.000691
29100,0.000701
29200,0.000715
29300,0.000706
29400,0.000722
29500,0.000720
29600,0.000730
29700,0.000727
29800,0.000709
29900,0.000714
