n,t
0,5e-7
100,2.042e-6
200,3.375e-6
300,4.375e-6
400,5.75e-6
500,6.792e-6
600,8.125e-6
700,9.5e-6
800,1.0542e-5
900,1.2e-5
1000,1.2666e-5
1100,1.4459e-5
1200,1.5667e-5
1300,1.6667e-5
1400,1.8334e-5
1500,1.9458e-5
1600,2.0458e-5
1700,2.1917e-5
1800,2.3375e-5
1900,2.4125e-5
2000,2.5792e-5
2100,2.9e-5
2200,2.825e-5
2300,2.9333e-5
2400,3.0834e-5
2500,3.1542e-5
2600,3.325e-5
2700,3.4667e-5
2800,3.6208e-5
2900,3.7e-5
3000,3.8541e-5
3100,3.9917e-5
3200,4.0792e-5
3300,4.1667e-5
3400,4.5084e-5
3500,4.4334e-5
3600,4.5833e-5
3700,4.7e-5
3800,4.875e-5
3900,4.925e-5
4000,5.0375e-5
4100,5.2583e-5
4200,5.3542e-5
4300,5.4625e-5
4400,5.6e-5
4500,5.7417e-5
4600,5.8375e-5
4700,6.0292e-5
4800,6.1083e-5
4900,6.2708e-5
5000,6.3166e-5
5100,6.4458e-5
5200,6.7792e-5
5300,6.7459e-5
5400,6.8708e-5
5500,6.9875e-5
5600,7.1625e-5
5700,7.1541e-5
5800,7.2834e-5
5900,7.4e-5
6000,7.6125e-5
6100,7.75e-5
6200,7.9166e-5
6300,7.95e-5
6400,8.1459e-5
6500,8.6167e-5
6600,8.5e-5
6700,8.5291e-5
6800,8.575e-5
6900,8.7083e-5
7000,0.000119875
7100,0.000118667
7200,0.000120917
7300,0.000122125
7400,0.000125292
7500,0.000124667
7600,0.000127417
7700,0.000129208
7800,0.000131125
7900,0.00013225
8000,0.000136
8100,0.000136834
8200,0.000138167
8300,0.000137667
8400,0.000139958
8500,0.000153084
8600,0.000145042
8700,0.000146666
8800,0.000147041
8900,0.000141458
9000,0.000135333
9100,0.000140833
9200,0.000138666
9300,0.000139209
9400,0.000141208
9500,0.000142834
9600,0.000143875
9700,0.000151375
9800,0.000148167
9900,0.000149709
10000,0.000152375
10100,0.000153792
10200,0.00015475
10300,0.000158375
10400,0.000157166
10500,0.000160125
10600,0.000160417
10700,0.000161125
10800,0.000163833
10900,0.000164667
11000,0.000165833
11100,0.000167708
11200,0.00017175
11300,0.000169625
11400,0.000172875
11500,0.000173542
11600,0.000174083
11700,0.000174958
11800,0.000177708
11900,0.000177583
12000,0.000180166
12100,0.000181167
12200,0.000167083
12300,0.000168
12400,0.000170792
12500,0.0001715
12600,0.000172792
12700,0.000173666
12800,0.000176083
12900,0.000182208
13000,0.000179083
13100,0.000186166
13200,0.000180042
13300,0.000181917
13400,0.000183792
13500,0.000186125
13600,0.000189875
13700,0.000188417
13800,0.000188291
13900,0.000190291
14000,0.000192125
14100,0.000197041
14200,0.000194083
14300,0.000195041
14400,0.000197
14500,0.000200209
14600,0.000200583
14700,0.000201125
14800,0.000202041
14900,0.000205416
15000,0.000190292
15100,0.000193292
15200,0.000193917
15300,0.000196166
15400,0.000199375
15500,0.000198125
15600,0.000197167
15700,0.000197875
15800,0.000199292
15900,0.000199875
16000,0.000202583
16100,0.00020275
16200,0.00021175
16300,0.000206167
16400,0.00022075
16500,0.00021425
16600,0.000210125
16700,0.000211958
16800,0.000213375
16900,0.0002145
17000,0.000217208
17100,0.000218167
17200,0.000220042
17300,0.00021975
17400,0.000221542
17500,0.000210709
17600,0.00021
17700,0.000210083
17800,0.000211958
17900,0.000212167
18000,0.000260833
18100,0.000228333
18200,0.000232167
18300,0.000217834
18400,0.000218917
18500,0.0002185
18600,0.000224416
18700,0.000221959
18800,0.00022225
18900,0.000223208
19000,0.000225583
19100,0.0002285
19200,0.000232875
19300,0.000229625
19400,0.000229792
19500,0.000230417
19600,0.00023325
19700,0.000234084
19800,0.000234583
19900,0.000235
20000,0.000236208
20100,0.000239625
20200,0.000239291
20300,0.000236375
20400,0.000223834
20500,0.000225458
20600,0.000227917
20700,0.000226792
20800,0.000229375
20900,0.000233417
21000,0.00023025
21100,0.000232458
21200,0.000234625
21300,0.000233375
21400,0.000235792
21500,0.0002365
21600,0.000236834
21700,0.000238458
21800,0.00024025
21900,0.000241292
22000,0.000244625
22100,0.000244333
22200,0.000243208
22300,0.00024525
22400,0.000246166
22500,0.000247666
22600,0.000251625
22700,0.000249334
22800,0.000290917
22900,0.000256584
23000,0.000256292
23100,0.000256792
23200,0.000255709
23300,0.000255334
23400,0.000258
23500,0.00026175
23600,0.000262584
23700,0.000261041
23800,0.000261541
23900,0.000261958
24000,0.000265083
24100,0.000256458
24200,0.000256583
24300,0.000257583
24400,0.000258541
24500,0.0002615
24600,0.000260667
24700,0.000262416
24800,0.000266583
24900,0.000263625
25000,0.000267
25100,0.000269084
25200,0.000268959
25300,0.000272
25400,0.000271833
25500,0.000272625
25600,0.000267125
25700,0.0002685
25800,0.00027025
25900,0.000269417
26000,0.000275833
26100,0.000272916
26200,0.000273209
26300,0.000274791
26400,0.000275542
26500,0.000277709
26600,0.000278125
26700,0.000280125
26800,0.000278875
26900,0.000292542
27000,0.000283
27100,0.000283459
27200,0.000283834
27300,0.000283583
27400,0.000287875
27500,0.0002815
27600,0.000283292
27700,0.000288667
27800,0.00028475
27900,0.00028525
28000,0.00028625
28100,0.000287417
28200,0.00028975
28300,0.000292125
28400,0.00029075
28500,0.00029225
28600,0.0002935
28700,0.000294875
28800,0.000294166
28900,0.000295875
29000,0.000298167
29100,0.000298375
29200,0.000301375
29300,0.000302167
29400,0.000302333
29500,0.000302
29600,0.000306917
29700,0.00030275
29800,0.000307417
29900,0.000312083
