n,t
0,0.000003
100,0.000032
200,0.000104
300,0.000220
400,0.000378
500,0.000583
600,0.000723
700,0.000910
800,0.001485
900,0.001886
1000,0.002034
1100,0.002459
1200,0.002898
1300,0.002701
1400,0.002968
1500,0.003683
1600,0.004140
1700,0.004031
1800,0.004514
1900,0.004491
2000,0.004808
2100,0.004855
2200,0.005125
2300,0.005154
2400,0.005355
2500,0.005405
2600,0.005497
2700,0.005648
2800,0.005827
2900,0.005922
3000,0.006193
3100,0.006425
3200,0.006734
3300,0.007053
3400,0.007396
3500,0.007878
3600,0.008309
3700,0.008759
3800,0.009246
3900,0.009736
4000,0.010215
4100,0.010718
4200,0.011287
4300,0.011781
4400,0.012398
4500,0.012915
4600,0.013883
4700,0.014091
4800,0.014655
4900,0.015296
5000,0.015926
5100,0.016557
5200,0.017173
5300,0.017842
5400,0.018530
5500,0.019247
5600,0.019905
5700,0.020615
5800,0.021374
5900,0.022080
6000,0.022988
6100,0.024024
6200,0.024383
6300,0.025205
6400,0.026136
6500,0.026801
6600,0.027708
6700,0.028425
6800,0.029353
6900,0.030129
7000,0.031046
7100,0.031897
7200,0.032847
7300,0.033748
7400,0.034666
7500,0.035625
7600,0.036567
7700,0.037730
7800,0.038593
7900,0.039490
8000,0.040443
8100,0.041450
8200,0.042508
8300,0.043954
8400,0.044636
8500,0.045748
8600,0.046706
8700,0.047841
8800,0.048985
8900,0.050474
9000,0.051439
9100,0.052753
9200,0.053989
9300,0.055179
9400,0.056203
9500,0.057171
9600,0.058142
9700,0.059458
9800,0.060597
9900,0.061880
10000,0.063634
10100,0.064666
10200,0.065947
10300,0.067278
10400,0.068701
10500,0.069972
10600,0.070974
10700,0.072179
10800,0.073512
10900,0.074937
11000,0.076296
11100,0.077904
11200,0.079633
11300,0.080717
11400,0.081906
11500,0.083824
11600,0.085095
11700,0.086998
11800,0.088319
11900,0.089421
12000,0.091612
12100,0.092338
12200,0.093727
12300,0.095293
12400,0.096906
12500,0.098356
12600,0.100245
12700,0.101672
12800,0.103256
12900,0.105361
13000,0.107108
13100,0.108235
13200,0.109904
13300,0.111310
13400,0.113025
13500,0.115064
13600,0.117055
13700,0.118504
13800,0.120070
13900,0.121624
14000,0.123451
14100,0.125144
14200,0.126939
14300,0.129052
14400,0.130593
14500,0.132989
14600,0.136758
14700,0.135944
14800,0.137946
14900,0.139906
15000,0.143224
15100,0.143806
15200,0.145409
15300,0.147883
15400,0.149071
15500,0.151105
15600,0.153171
15700,0.155812
15800,0.157334
15900,0.161301
16000,0.161343
16100,0.163427
16200,0.165105
16300,0.167214
16400,0.169542
16500,0.171872
16600,0.173398
16700,0.175367
16800,0.177450
16900,0.179803
17000,0.181768
17100,0.184428
17200,0.186061
17300,0.188135
17400,0.190354
17500,0.193154
17600,0.195206
17700,0.196984
17800,0.199148
17900,0.201436
18000,0.204107
18100,0.206531
18200,0.208329
18300,0.210754
18400,0.213713
18500,0.220353
18600,0.219724
18700,0.221114
18800,0.223162
18900,0.224989
19000,0.227003
19100,0.231970
19200,0.231984
19300,0.235029
19400,0.236770
19500,0.239192
19600,0.241471
19700,0.243948
19800,0.247128
19900,0.251612
20000,0.252088
20100,0.254242
20200,0.263225
20300,0.259736
20400,0.262589
20500,0.264711
20600,0.268811
20700,0.269734
20800,0.273246
20900,0.275535
21000,0.277672
21100,0.280817
21200,0.282977
21300,0.285944
21400,0.288864
21500,0.291310
21600,0.294663
21700,0.304204
21800,0.319493
21900,0.321212
22000,0.365840
22100,0.343612
22200,0.334341
22300,0.413397
22400,0.344987
22500,0.333310
22600,0.347534
22700,0.350508
22800,0.361718
22900,0.357518
23000,0.362320
23100,0.373400
23200,0.369091
23300,0.404322
23400,0.414834
23500,0.386898
23600,0.424734
23700,0.385099
23800,0.382483
23900,0.386046
24000,0.395758
24100,0.388932
24200,0.385170
24300,0.391812
24400,0.397080
24500,0.412985
24600,0.404973
24700,0.433697
24800,0.408965
24900,0.398359
25000,0.406168
25100,0.408877
25200,0.424778
25300,0.448563
25400,0.424768
25500,0.427581
25600,0.451336
25700,0.449549
25800,0.461200
25900,0.438644
26000,0.442179
26100,0.436483
26200,0.432579
26300,0.437406
26400,0.446818
26500,0.447089
26600,0.472682
26700,0.460758
26800,0.471639
26900,0.477606
27000,0.476881
27100,0.481438
27200,0.480888
27300,0.490471
27400,0.494339
27500,0.497189
27600,0.500529
27700,0.499922
27800,0.504090
27900,0.507811
28000,0.510848
28100,0.516566
28200,0.512176
28300,0.510836
28400,0.515209
28500,0.521056
28600,0.523136
28700,0.533131
28800,0.535693
28900,0.545276
29000,0.637910
29100,0.609539
29200,0.559488
29300,0.567330
29400,0.565764
29500,0.568590
29600,0.575161
29700,0.573913
29800,0.578830
29900,0.584390
