n,t
0,4.2e-8
100,8.75e-6
200,3.4416e-5
300,7.7083e-5
400,0.000137208
500,0.000224625
600,0.000355875
700,0.000485083
800,0.000634042
900,0.000804833
1000,0.001013125
1100,0.001114959
1200,0.001242375
1300,0.001458083
1400,0.001695708
1500,0.001942416
1600,0.0022105
1700,0.002491791
1800,0.002472875
1900,0.002757709
2000,0.003007875
2100,0.003027125
2200,0.003310917
2300,0.0034
2400,0.003606375
2500,0.003757
2600,0.003898583
2700,0.004074584
2800,0.004228417
2900,0.004474625
3000,0.004504125
3100,0.004813416
3200,0.005078833
3300,0.005258333
3400,0.005499959
3500,0.005751625
3600,0.006051959
3700,0.006395292
3800,0.006746959
3900,0.007331292
4000,0.007479625
4100,0.007878625
4200,0.0083025
4300,0.008768459
4400,0.009107959
4500,0.009465792
4600,0.009897375
4700,0.010428292
4800,0.010824209
4900,0.011309417
5000,0.011920916
5100,0.012311625
5200,0.012926167
5300,0.013155209
5400,0.013637458
5500,0.0141595
5600,0.014799292
5700,0.015202417
5800,0.015734333
5900,0.016279417
6000,0.016884333
6100,0.017401167
6200,0.01797775
6300,0.01860925
6400,0.019218625
6500,0.019829209
6600,0.02039
6700,0.02104625
6800,0.021740625
6900,0.022289333
7000,0.023638417
7100,0.023579292
7200,0.024262583
7300,0.024973667
7400,0.02563375
7500,0.026361584
7600,0.027067667
7700,0.027772916
7800,0.0284645
7900,0.029224958
8000,0.030412792
8100,0.030748292
8200,0.031473667
8300,0.032270458
8400,0.033082125
8500,0.033833459
8600,0.034639167
8700,0.035411125
8800,0.036258917
8900,0.037154667
9000,0.03792075
9100,0.038805416
9200,0.039603166
9300,0.040513333
9400,0.041770125
9500,0.042354708
9600,0.043210875
9700,0.044119667
9800,0.045020875
9900,0.045899125
10000,0.046871542
10100,0.047754958
10200,0.048693583
10300,0.04975725
10400,0.050741625
10500,0.051700625
10600,0.052586375
10700,0.053702
10800,0.054722792
10900,0.062490542
11000,0.058484417
11100,0.057958208
11200,0.058889625
11300,0.060355416
11400,0.060899
11500,0.06195725
11600,0.063111916
11700,0.064208125
11800,0.065281375
11900,0.066377375
12000,0.067447958
12100,0.069038042
12200,0.070566333
12300,0.0708795
12400,0.072026542
12500,0.073334959
12600,0.074770583
12700,0.075586792
12800,0.077030791
12900,0.077974959
13000,0.07969
13100,0.080566167
13200,0.081780625
13300,0.082887791
13400,0.084156375
13500,0.085426667
13600,0.0866815
13700,0.087926875
13800,0.089297792
13900,0.090507625
14000,0.092202084
14100,0.093199875
14200,0.094524791
14300,0.095848458
14400,0.0972105
14500,0.098612958
14600,0.099898209
14700,0.101360083
14800,0.102628959
14900,0.10405625
15000,0.105298625
15100,0.106859958
15200,0.108297792
15300,0.109839583
15400,0.111137292
15500,0.112587958
15600,0.11450175
15700,0.115486834
15800,0.116957
15900,0.118840833
16000,0.119998416
16100,0.121521
16200,0.123115541
16300,0.124608458
16400,0.1262205
16500,0.12759375
16600,0.12926975
16700,0.131033208
16800,0.132301791
16900,0.134393541
17000,0.135490791
17100,0.1371245
17200,0.138647292
17300,0.140303959
17400,0.147899083
17500,0.150461625
17600,0.155255833
17700,0.15316475
17800,0.153858208
17900,0.15273425
18000,0.15724475
18100,0.159844208
18200,0.161708292
18300,0.162166791
18400,0.164665375
18500,0.168337625
18600,0.168425542
18700,0.171174958
18800,0.178255792
18900,0.169608417
19000,0.176526916
19100,0.177647083
19200,0.17905775
19300,0.175826167
19400,0.183298667
19500,0.185152542
19600,0.186565
19700,0.188311833
19800,0.190121083
19900,0.191185166
20000,0.191133417
20100,0.190026583
20200,0.192896291
20300,0.195385208
20400,0.19585025
20500,0.198304791
20600,0.200116792
20700,0.203946
20800,0.214608166
20900,0.272589375
21000,0.208588666
21100,0.209171291
21200,0.213055416
21300,0.219425625
21400,0.217332125
21500,0.219361583
21600,0.219813083
21700,0.224755625
21800,0.226651666
21900,0.225943667
22000,0.22805625
22100,0.229887
22200,0.235611916
22300,0.233519041
22400,0.235312583
22500,0.238049416
22600,0.24282075
22700,0.241529042
22800,0.243718084
22900,0.245676708
23000,0.248021458
23100,0.250832
23200,0.252389958
23300,0.255108083
23400,0.257115959
23500,0.261368541
23600,0.262599917
23700,0.264967334
23800,0.268803333
23900,0.270667833
24000,0.273119666
24100,0.275027875
24200,0.275948709
24300,0.279339042
24400,0.281313625
24500,0.285762708
24600,0.288165792
24700,0.28834325
24800,0.29282525
24900,0.293817042
25000,0.294243958
25100,0.296705166
25200,0.298229917
25300,0.301257584
25400,0.304059708
25500,0.310195375
25600,0.312636375
25700,0.318262666
25800,0.369899833
25900,0.350421584
26000,0.328510125
26100,0.321383417
26200,0.353814542
26300,0.326011709
26400,0.32882925
26500,0.330930208
26600,0.331765791
26700,0.334555291
26800,0.337237875
26900,0.341423084
27000,0.348246834
27100,0.353997542
27200,0.352556541
27300,0.355212416
27400,0.367473916
27500,0.36067825
27600,0.361146417
27700,0.368113042
27800,0.36605175
27900,0.3677665
28000,0.37100325
28100,0.422907166
28200,0.377629625
28300,0.379051125
28400,0.380815458
28500,0.384193875
28600,0.395986583
28700,0.393614083
28800,0.397532875
28900,0.39637675
29000,0.398291584
29100,0.400188917
29200,0.406856542
29300,0.406230709
29400,0.407964542
29500,0.409522709
29600,0.414378208
29700,0.415495417
29800,0.417951959
29900,0.422514125
